"Source:","C:\Users\Thomas\Documents\Modular Synthesizer\TK Projektor\Arduino Quantizer TK\Hardware\Arduino Quantizer TK V1.sch"
"Date:","03-11-2022 17:30:33"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Text","text"
"15","1","J3","Transpose CV","Connector:AudioJack2_SwitchT","Thomas PCB:Jack_PinHeader_1x02_P2.54mm_Vertical","~","0-5V",""
"16","1","J4","Remote trigger","Connector:AudioJack2","Thomas PCB:Jack_PinHeader_1x02_P2.54mm_Vertical","~","2-12V",""
"17","1","J5","QV out","Connector:AudioJack2","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal","~","",""
"18","1","J6","Power","Thomas_Symbols:Eurorack_power_Conn_01x10","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","",""
"19","1","Q1","BC547","Transistor_BJT:BC547","Thomas PCB:TO-92_Inline_Wide_Longpads","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","",""
"20","1","R1","16K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"21","2","R2, R16","470R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"22","7","R3, R14, R18, R20, R22, R27, R28","47K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"23","8","R4, R5, R6, R7, R8, R9, R10, R11","300E","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"24","1","R12","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"25","1","R13","24K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"26","1","R15","10K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"27","5","R17, R29, R30, R31, R32","100K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"28","1","R19","33K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"29","1","R21","30K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"30","2","R23, R24","22K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"31","1","R25","2K7","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"32","1","R26","56K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"33","2","RV1, RV4","5K","Device:R_POT","Thomas PCB:Potentiometer_Bourns_3296W_Vertical_longpads_2","~","",""
"34","1","RV2","100K","Device:R_POT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","Transpose",""
"35","1","RV3","10K","Device:R_POT","Thomas PCB:Potentiometer_Bourns_3296W_Vertical_longpads_2","~","",""
"36","1","SOIC1","Conn_01x28","Connector_Generic:Conn_01x28","Package_SO:SOIC-28W_7.5x18.7mm_P1.27mm","~","",""
"37","1","SSOP1","Conn_01x28","Connector_Generic:Conn_01x28","Package_SO:TSSOP-28_6.1x9.7mm_P0.65mm","~","",""
"38","1","SSOP2","Conn_01x28","Connector_Generic:Conn_01x28","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","~","",""
"39","1","SW1","Rotary_Encoder_Switch","Device:Rotary_Encoder_Switch","Thomas PCB:Encoder_with_Switch_PinHeader_2x03_P2.54mm_Vertical","~","",""
"40","1","SW2","Spare SW","Switch:SW_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"41","1","SW3","Remote trig","Switch:SW_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"42","1","SW4","Transpose Offset","Switch:SW_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"43","1","U1","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf","",""
"44","1","U2","SC52-11GWA","Display_Character:KCSC02-123","Thomas PCB:Eurorack_power_IDC-Header_2x05_P2.54mm_Vertical","http://www.kingbright.com/attachments/file/psearch/000/00/00/KCSC02-123(Ver.10A).pdf","",""
"45","1","U3","MCP4921-EP","Analog_DAC:MCP4921-EP","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/devicedoc/21897a.pdf","",""
"46","1","XJ1","7-Segment","Thomas_Symbols:Eurorack_power_Conn_01x10","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","",""
"47","1","XU1","SC52-11GWA","Display_Character:KCSC02-123","Thomas PCB:7Segment_SC52-11GWA","http://www.kingbright.com/attachments/file/psearch/000/00/00/KCSC02-123(Ver.10A).pdf","",""
